,miss_perc,K,n_samples,cv_r2,test_r2,seed
1,0.1,30.0,100.0,-0.31559140268548813,-0.08,0.0
2,0.1,30.0,100.0,-0.006804445046023844,-0.16,1.0
3,0.1,30.0,100.0,-0.16647953772204122,-0.08,2.0
4,0.1,30.0,100.0,-0.1762878137888185,-0.03,3.0
5,0.1,30.0,100.0,-0.22427630425433262,-0.15,4.0
6,0.1,30.0,100.0,-0.1105826724153208,-0.03,5.0
7,0.1,30.0,100.0,0.06606086366555781,-0.03,6.0
8,0.1,30.0,100.0,-0.06508107233089225,-0.01,7.0
9,0.1,30.0,100.0,-0.08800260600337992,-0.1,8.0
10,0.1,30.0,100.0,-0.3377870644739729,-0.04,9.0
11,0.1,30.0,100.0,-0.2074470638129892,-0.02,10.0
12,0.1,30.0,100.0,-0.02761636730842785,-0.15,11.0
13,0.1,30.0,100.0,-0.3952561023047552,-0.01,12.0
14,0.1,30.0,100.0,0.02416238327076161,-0.06,13.0
15,0.1,30.0,100.0,-0.06044874663902007,0.03,14.0
16,0.1,30.0,100.0,-0.1700217112293619,-0.06,15.0
17,0.1,30.0,100.0,-0.23924097175953504,-0.19,16.0
18,0.1,30.0,100.0,-0.2334561761507344,-0.0,17.0
19,0.1,30.0,100.0,-0.09351606971329138,-0.0,18.0
20,0.1,30.0,100.0,-0.017306990495927564,-0.0,19.0
21,0.1,30.0,100.0,-0.3706337316916876,0.02,20.0
22,0.1,30.0,100.0,-0.5679386923069327,-0.34,21.0
23,0.1,30.0,100.0,-0.029680445181886707,-0.02,22.0
24,0.1,30.0,100.0,-0.09460196714702332,0.01,23.0
25,0.1,30.0,100.0,-0.26429891258302923,-0.06,24.0
26,0.1,30.0,100.0,-0.06566148120025303,0.08,25.0
27,0.1,30.0,100.0,-0.13724898609577316,-0.0,26.0
28,0.1,30.0,100.0,-0.2541622490194743,-0.18,27.0
29,0.1,30.0,100.0,-0.08676482800596404,-0.01,28.0
30,0.1,30.0,100.0,-0.086943114220059,-0.05,29.0
31,0.1,30.0,100.0,-0.08089151262633257,-0.02,30.0
32,0.1,30.0,100.0,-0.13633686208038348,-0.01,31.0
33,0.1,30.0,100.0,-0.13267896358895848,-0.46,32.0
34,0.1,30.0,100.0,-0.1929744467763978,-0.26,33.0
35,0.1,30.0,100.0,-0.1818307866060554,0.02,34.0
36,0.1,30.0,100.0,-0.06790367357700963,-0.0,35.0
37,0.1,30.0,100.0,-0.12290644620938665,-0.0,36.0
