,miss_perc,K,n_samples,cv_r2,test_r2,seed
1,0.1,30.0,100.0,-0.31559140268548813,-0.08,0.0
2,0.1,30.0,100.0,-0.006804445046023844,-0.16,1.0
3,0.1,30.0,100.0,-0.16647953772204122,-0.08,2.0
4,0.1,30.0,100.0,-0.1762878137888185,-0.03,3.0
5,0.1,30.0,100.0,-0.22427630425433262,-0.15,4.0
6,0.1,30.0,100.0,-0.1105826724153208,-0.03,5.0
7,0.1,30.0,100.0,0.06606086366555781,-0.03,6.0
8,0.1,30.0,100.0,-0.06508107233089225,-0.01,7.0
9,0.1,30.0,100.0,-0.08800260600337992,-0.1,8.0
10,0.1,30.0,100.0,-0.3377870644739729,-0.04,9.0
11,0.3,30.0,100.0,-0.14788528092187275,0.07,0.0
12,0.3,30.0,100.0,0.334992562022872,-0.31,1.0
13,0.3,30.0,100.0,-0.08042041755045588,-0.06,2.0
14,0.3,30.0,100.0,0.008434331679016794,0.09,3.0
15,0.3,30.0,100.0,-0.22427630425433262,-0.15,4.0
16,0.3,30.0,100.0,-0.007813053258190084,0.19,5.0
17,0.3,30.0,100.0,0.23328269954397332,-0.19,6.0
18,0.3,30.0,100.0,-0.06508107233089225,-0.01,7.0
19,0.3,30.0,100.0,-0.1583204053337987,-0.03,8.0
20,0.3,30.0,100.0,-0.2122300994243453,0.0,9.0
21,0.5,30.0,100.0,0.02100885287036074,0.21,0.0
22,0.5,30.0,100.0,0.37926119929962077,0.39,1.0
23,0.5,30.0,100.0,-0.033930616624701114,0.13,2.0
24,0.5,30.0,100.0,0.052101028305974184,0.35,3.0
25,0.5,30.0,100.0,-0.03538830543827254,0.19,4.0
26,0.5,30.0,100.0,0.31914611402696524,0.32,5.0
27,0.5,30.0,100.0,0.3120633706826972,0.16,6.0
28,0.5,30.0,100.0,0.006561177741370772,0.4,7.0
29,0.5,30.0,100.0,-0.019186931471502588,-0.09,8.0
30,0.5,30.0,100.0,0.028266309684413037,0.35,9.0
31,0.1,30.0,300.0,-0.003202037608429409,-0.03,0.0
32,0.1,30.0,300.0,-0.029096193034635443,-0.04,1.0
33,0.1,30.0,300.0,-0.06874480695694411,-0.0,2.0
34,0.1,30.0,300.0,-0.05163218356575423,-0.05,3.0
35,0.1,30.0,300.0,-0.028927495427545625,-0.0,4.0
36,0.1,30.0,300.0,-0.04914599159431332,-0.0,5.0
37,0.1,30.0,300.0,-0.013832327804432864,-0.0,6.0
