,miss_perc,K,n_samples,cv_r2,test_r2,r2_param,seed
1,0.0,30.0,100.0,-0.31754839270460766,-0.08,0.0,0.0
2,0.0,30.0,100.0,-0.0068324174586914975,-0.23,0.0,1.0
3,0.0,30.0,100.0,-0.25945507729961176,-0.0,0.0,2.0
4,0.0,30.0,100.0,-0.1762878137888185,-0.03,0.0,3.0
5,0.0,30.0,100.0,-0.22427630425433262,-0.15,0.0,4.0
6,0.0,30.0,100.0,-0.1105826724153208,-0.03,0.0,5.0
7,0.0,30.0,100.0,-0.036651508294374156,-0.01,0.0,6.0
8,0.0,30.0,100.0,-0.06508107233089225,-0.01,0.0,7.0
9,0.0,30.0,100.0,-0.1592948788041761,-0.03,0.0,8.0
10,0.0,30.0,100.0,-0.35036739887176094,-0.02,0.0,9.0
11,0.0,30.0,100.0,-0.5304261336839413,-0.18,0.1,0.0
12,0.0,30.0,100.0,-0.6536725070949572,-0.55,0.1,1.0
13,0.0,30.0,100.0,-1.256372387877771,-0.0,0.1,2.0
14,0.0,30.0,100.0,-0.07303900590635301,-0.16,0.1,3.0
15,0.0,30.0,100.0,-0.928034379308157,-1.13,0.1,4.0
16,0.0,30.0,100.0,-0.8210467916693777,-0.5,0.1,5.0
17,0.0,30.0,100.0,-0.4904404886933059,0.08,0.1,6.0
18,0.0,30.0,100.0,-0.6623678150124096,-0.21,0.1,7.0
19,0.0,30.0,100.0,-1.4447423056233355,-0.11,0.1,8.0
20,0.0,30.0,100.0,-1.4692707829917762,-0.87,0.1,9.0
21,0.0,30.0,100.0,0.16474324143069102,-0.24,0.3,0.0
22,0.0,30.0,100.0,0.05924060538900946,-0.09,0.3,1.0
23,0.0,30.0,100.0,-0.3997387887539577,0.23,0.3,2.0
24,0.0,30.0,100.0,-0.09944428581125145,0.05,0.3,3.0
25,0.0,30.0,100.0,0.2479422000404825,0.11,0.3,4.0
26,0.0,30.0,100.0,-0.15514389346178592,-0.02,0.3,5.0
27,0.0,30.0,100.0,-0.16536797304818782,0.31,0.3,6.0
28,0.0,30.0,100.0,0.08274008922572948,0.07,0.3,7.0
29,0.0,30.0,100.0,-0.2447252207390775,0.13,0.3,8.0
30,0.0,30.0,100.0,-1.1048824240265633,0.01,0.3,9.0
31,0.0,30.0,100.0,0.3534264927607743,0.46,0.5,0.0
32,0.0,30.0,100.0,0.2102806201812622,0.55,0.5,1.0
33,0.0,30.0,100.0,0.08025916976943423,0.42,0.5,2.0
34,0.0,30.0,100.0,0.18491504177985463,0.25,0.5,3.0
35,0.0,30.0,100.0,0.23068750992869064,0.64,0.5,4.0
36,0.0,30.0,100.0,0.46859472267711083,0.31,0.5,5.0
37,0.0,30.0,100.0,-0.16832209356352087,0.28,0.5,6.0
38,0.0,30.0,100.0,0.3823643631294254,0.25,0.5,7.0
39,0.0,30.0,100.0,0.06692655210757828,0.36,0.5,8.0
40,0.0,30.0,100.0,-0.7238998027050474,0.35,0.5,9.0
41,0.1,30.0,100.0,-0.31754839270460766,-0.08,0.0,0.0
42,0.1,30.0,100.0,-0.02309780922122886,-0.21,0.0,1.0
43,0.1,30.0,100.0,-0.16647953772204122,-0.08,0.0,2.0
44,0.1,30.0,100.0,-0.1762878137888185,-0.03,0.0,3.0
45,0.1,30.0,100.0,-0.22427630425433262,-0.15,0.0,4.0
46,0.1,30.0,100.0,-0.1105826724153208,-0.03,0.0,5.0
47,0.1,30.0,100.0,0.016843357183406106,0.0,0.0,6.0
48,0.1,30.0,100.0,-0.06508107233089225,-0.01,0.0,7.0
49,0.1,30.0,100.0,-0.1276878677253029,-0.08,0.0,8.0
50,0.1,30.0,100.0,-0.3377870644739729,-0.04,0.0,9.0
51,0.1,30.0,100.0,-0.36895643304190123,-0.12,0.1,0.0
52,0.1,30.0,100.0,-0.6126465746913787,-0.61,0.1,1.0
53,0.1,30.0,100.0,-1.052338976480588,-0.04,0.1,2.0
54,0.1,30.0,100.0,-0.052634166508309585,0.06,0.1,3.0
55,0.1,30.0,100.0,-0.3538351451759867,-0.74,0.1,4.0
56,0.1,30.0,100.0,-1.1282124183483455,-0.48,0.1,5.0
57,0.1,30.0,100.0,-0.4053401429521652,0.1,0.1,6.0
58,0.1,30.0,100.0,-0.4254928733910119,-0.27,0.1,7.0
59,0.1,30.0,100.0,-0.7759122149107711,-0.02,0.1,8.0
60,0.1,30.0,100.0,-1.5154149818271214,-0.29,0.1,9.0
61,0.1,30.0,100.0,0.32668221486575677,-0.09,0.3,0.0
62,0.1,30.0,100.0,0.1318140292877436,-0.13,0.3,1.0
63,0.1,30.0,100.0,-0.212347579624731,0.32,0.3,2.0
64,0.1,30.0,100.0,-0.053520902103823806,-0.53,0.3,3.0
65,0.1,30.0,100.0,0.3114869547498319,0.16,0.3,4.0
66,0.1,30.0,100.0,-0.09369991507503872,0.12,0.3,5.0
67,0.1,30.0,100.0,0.034307595556151746,0.39,0.3,6.0
68,0.1,30.0,100.0,0.27026442808649664,0.1,0.3,7.0
69,0.1,30.0,100.0,-0.2117015471017832,0.19,0.3,8.0
70,0.1,30.0,100.0,-0.7177601219598445,0.13,0.3,9.0
71,0.1,30.0,100.0,0.37762190823098934,0.41,0.5,0.0
72,0.1,30.0,100.0,0.3073397508510968,0.66,0.5,1.0
73,0.1,30.0,100.0,0.17155783118014187,0.46,0.5,2.0
74,0.1,30.0,100.0,0.28106409700651824,0.3,0.5,3.0
75,0.1,30.0,100.0,0.397186648717295,0.66,0.5,4.0
76,0.1,30.0,100.0,0.528588029301216,0.24,0.5,5.0
77,0.1,30.0,100.0,-0.1701859039572569,0.28,0.5,6.0
78,0.1,30.0,100.0,0.3763195610115019,0.26,0.5,7.0
79,0.1,30.0,100.0,0.14058904966375776,0.44,0.5,8.0
80,0.1,30.0,100.0,-0.3312339793257496,0.39,0.5,9.0
81,0.3,30.0,100.0,-0.16352787218717146,0.05,0.0,0.0
82,0.3,30.0,100.0,0.08583369261662917,-0.1,0.0,1.0
83,0.3,30.0,100.0,-0.08042041755045588,-0.06,0.0,2.0
84,0.3,30.0,100.0,-0.1762878137888185,-0.03,0.0,3.0
85,0.3,30.0,100.0,-0.22427630425433262,-0.15,0.0,4.0
86,0.3,30.0,100.0,-0.06808453150189502,0.05,0.0,5.0
87,0.3,30.0,100.0,0.12872647856920835,0.08,0.0,6.0
88,0.3,30.0,100.0,-0.06508107233089225,-0.01,0.0,7.0
89,0.3,30.0,100.0,-0.1592948788041761,-0.03,0.0,8.0
90,0.3,30.0,100.0,-0.28492823071782925,0.01,0.0,9.0
91,0.3,30.0,100.0,-0.10516580609793577,0.03,0.1,0.0
92,0.3,30.0,100.0,-0.8285895710816049,-0.33,0.1,1.0
93,0.3,30.0,100.0,-0.539414272197039,0.13,0.1,2.0
94,0.3,30.0,100.0,0.6997879769952698,0.68,0.1,3.0
95,0.3,30.0,100.0,0.30024138189833954,-0.25,0.1,4.0
96,0.3,30.0,100.0,0.7885716554650555,0.92,0.1,5.0
97,0.3,30.0,100.0,0.7424841061239047,0.85,0.1,6.0
98,0.3,30.0,100.0,-0.2517650809533202,0.12,0.1,7.0
99,0.3,30.0,100.0,0.6842718462096066,0.96,0.1,8.0
100,0.3,30.0,100.0,-0.7414459504910293,-0.08,0.1,9.0
101,0.3,30.0,100.0,0.787306952868621,0.71,0.3,0.0
102,0.3,30.0,100.0,0.030380245440601517,0.05,0.3,1.0
103,0.3,30.0,100.0,0.10289394570541295,0.47,0.3,2.0
104,0.3,30.0,100.0,0.8084454870934705,0.75,0.3,3.0
105,0.3,30.0,100.0,0.3039952840127797,0.16,0.3,4.0
106,0.3,30.0,100.0,0.24841392723315808,0.39,0.3,5.0
107,0.3,30.0,100.0,0.32472270577597745,0.22,0.3,6.0
108,0.3,30.0,100.0,0.34225108032117996,0.22,0.3,7.0
109,0.3,30.0,100.0,0.02161151220338966,0.07,0.3,8.0
110,0.3,30.0,100.0,-0.6117444152364596,0.3,0.3,9.0
111,0.3,30.0,100.0,0.633176253951777,0.63,0.5,0.0
112,0.3,30.0,100.0,0.5609868592925631,0.68,0.5,1.0
113,0.3,30.0,100.0,0.354089335059922,0.6,0.5,2.0
114,0.3,30.0,100.0,0.5202923024866253,0.49,0.5,3.0
115,0.3,30.0,100.0,0.5204117804296272,0.71,0.5,4.0
116,0.3,30.0,100.0,0.5914780147033036,0.66,0.5,5.0
117,0.3,30.0,100.0,0.16801677074534555,0.44,0.5,6.0
118,0.3,30.0,100.0,0.40133980751502085,0.36,0.5,7.0
119,0.3,30.0,100.0,0.24746310412807698,0.35,0.5,8.0
120,0.3,30.0,100.0,-0.5083290324169666,0.62,0.5,9.0
121,0.5,30.0,100.0,-0.2797572259875789,0.04,0.0,0.0
122,0.5,30.0,100.0,0.26372001233990616,0.25,0.0,1.0
123,0.5,30.0,100.0,-0.09454402217792084,-0.04,0.0,2.0
124,0.5,30.0,100.0,-0.16486389030820264,0.06,0.0,3.0
125,0.5,30.0,100.0,-0.22427630425433262,-0.15,0.0,4.0
126,0.5,30.0,100.0,0.1218817923144679,0.09,0.0,5.0
127,0.5,30.0,100.0,0.15738939126962498,0.11,0.0,6.0
128,0.5,30.0,100.0,-0.06508107233089225,-0.01,0.0,7.0
129,0.5,30.0,100.0,-0.09600538369115927,-0.05,0.0,8.0
130,0.5,30.0,100.0,-0.3502068554687542,-0.02,0.0,9.0
131,0.5,30.0,100.0,0.8682204017173545,0.95,0.1,0.0
132,0.5,30.0,100.0,0.6745478892868967,0.89,0.1,1.0
133,0.5,30.0,100.0,0.9076678935289296,0.93,0.1,2.0
134,0.5,30.0,100.0,0.947817524972506,0.99,0.1,3.0
135,0.5,30.0,100.0,0.8963893442812193,0.88,0.1,4.0
136,0.5,30.0,100.0,0.8927841390185698,0.94,0.1,5.0
137,0.5,30.0,100.0,0.6481768415945088,0.95,0.1,6.0
138,0.5,30.0,100.0,0.8959855327389018,0.98,0.1,7.0
139,0.5,30.0,100.0,0.8972775497223363,0.92,0.1,8.0
140,0.5,30.0,100.0,0.5850712686106723,0.92,0.1,9.0
141,0.5,30.0,100.0,0.7933256092283721,0.63,0.3,0.0
142,0.5,30.0,100.0,0.7038770965203612,0.89,0.3,1.0
143,0.5,30.0,100.0,0.8504064401900596,0.9,0.3,2.0
144,0.5,30.0,100.0,0.800134198113142,0.92,0.3,3.0
145,0.5,30.0,100.0,0.9049516829898892,0.93,0.3,4.0
146,0.5,30.0,100.0,0.3464855667870147,0.54,0.3,5.0
147,0.5,30.0,100.0,0.7928163586664899,0.89,0.3,6.0
148,0.5,30.0,100.0,0.8181736627681782,0.94,0.3,7.0
149,0.5,30.0,100.0,0.6493782402345332,0.85,0.3,8.0
150,0.5,30.0,100.0,0.6160955986729479,0.9,0.3,9.0
151,0.5,30.0,100.0,0.8577200258448023,0.84,0.5,0.0
152,0.5,30.0,100.0,0.9331851436336285,0.95,0.5,1.0
153,0.5,30.0,100.0,0.876348667250434,0.89,0.5,2.0
154,0.5,30.0,100.0,0.8090813765990041,0.78,0.5,3.0
