,miss_perc,K,n_samples,cv_r2,test_r2,seed
1,0.1,30.0,100.0,-0.31754839270460766,-0.08,0.0
2,0.1,30.0,100.0,-0.01620547305540654,-0.16,1.0
3,0.1,30.0,100.0,-0.1720549278631599,-0.06,2.0
4,0.1,30.0,100.0,-0.1762878137888185,-0.03,3.0
5,0.1,30.0,100.0,-0.22427630425433262,-0.15,4.0
6,0.1,30.0,100.0,-0.1105826724153208,-0.03,5.0
7,0.1,30.0,100.0,0.06078200759318455,-0.03,6.0
8,0.1,30.0,100.0,-0.06508107233089225,-0.01,7.0
9,0.1,30.0,100.0,-0.09482345971701629,-0.11,8.0
10,0.1,30.0,100.0,-0.34941013981938207,-0.03,9.0
11,0.1,30.0,100.0,-0.2074470638129892,-0.02,10.0
12,0.1,30.0,100.0,-0.02761636730842785,-0.15,11.0
13,0.1,30.0,100.0,-0.3952561023047552,-0.01,12.0
14,0.1,30.0,100.0,0.007379469019796114,-0.09,13.0
15,0.1,30.0,100.0,-0.059132084566449986,0.03,14.0
16,0.1,30.0,100.0,-0.1700217112293619,-0.06,15.0
17,0.1,30.0,100.0,-0.23924097175953504,-0.19,16.0
18,0.1,30.0,100.0,-0.2334561761507344,-0.0,17.0
19,0.1,30.0,100.0,-0.09351606971329138,-0.0,18.0
20,0.1,30.0,100.0,-0.024760128432209493,-0.0,19.0
21,0.1,30.0,100.0,-0.37807755238676743,0.02,20.0
22,0.1,30.0,100.0,-0.6075991492094153,-0.26,21.0
23,0.1,30.0,100.0,-0.028307661730672385,-0.03,22.0
24,0.1,30.0,100.0,-0.10847113454823702,-0.0,23.0
25,0.1,30.0,100.0,-0.26429891258302923,-0.06,24.0
26,0.1,30.0,100.0,-0.10551756364260487,0.07,25.0
27,0.1,30.0,100.0,-0.13724898609577316,-0.0,26.0
28,0.1,30.0,100.0,-0.2541622490194743,-0.18,27.0
29,0.1,30.0,100.0,-0.08676482800596404,-0.01,28.0
30,0.1,30.0,100.0,-0.086943114220059,-0.05,29.0
31,0.1,30.0,100.0,-0.08781804471151602,-0.02,30.0
32,0.1,30.0,100.0,-0.13633686208038348,-0.01,31.0
33,0.1,30.0,100.0,-0.13267896358895848,-0.46,32.0
34,0.1,30.0,100.0,-0.19420791937419266,-0.23,33.0
35,0.1,30.0,100.0,-0.17993990167187807,0.02,34.0
36,0.1,30.0,100.0,-0.06790367357700963,-0.0,35.0
37,0.1,30.0,100.0,-0.12290644620938665,-0.0,36.0
38,0.1,30.0,100.0,-0.4318684127486277,-0.0,37.0
39,0.1,30.0,100.0,-0.21418380627622877,-0.01,38.0
40,0.1,30.0,100.0,-0.0869928932980812,-0.04,39.0
41,0.1,30.0,100.0,-0.038102895088221664,-0.01,40.0
42,0.1,30.0,100.0,-0.12345909962298332,-0.0,41.0
43,0.1,30.0,100.0,-0.424056988783781,-0.02,42.0
44,0.1,30.0,100.0,-0.763877282688776,-0.02,43.0
45,0.1,30.0,100.0,-0.13409694968330124,-0.0,44.0
46,0.1,30.0,100.0,-0.28347822685543833,-0.0,45.0
47,0.1,30.0,100.0,-0.5896628599240193,-0.01,46.0
48,0.1,30.0,100.0,0.05929549443105677,-0.23,47.0
49,0.1,30.0,100.0,-0.40819598023916104,-0.18,48.0
50,0.1,30.0,100.0,-0.08491647180163064,-0.03,49.0
51,0.1,30.0,100.0,-0.061996451090767166,-0.01,50.0
52,0.1,30.0,100.0,-0.025132537064678485,-0.0,51.0
53,0.1,30.0,100.0,-0.0951935958522856,-0.0,52.0
54,0.1,30.0,100.0,-0.01937328454213034,-0.15,53.0
55,0.1,30.0,100.0,-0.04362701516966498,-0.59,54.0
56,0.1,30.0,100.0,-0.08481305520096258,-0.07,55.0
57,0.1,30.0,100.0,-0.18302157855573994,-0.02,56.0
58,0.1,30.0,100.0,-0.20676730198488844,-0.24,57.0
59,0.1,30.0,100.0,0.02494253590043216,-0.22,58.0
60,0.1,30.0,100.0,0.03130722776834018,-0.26,59.0
61,0.1,30.0,100.0,-0.17512711165198908,-0.03,60.0
62,0.1,30.0,100.0,-0.05311346391914475,-0.01,61.0
63,0.1,30.0,100.0,-0.013981701363115917,-0.3,62.0
64,0.1,30.0,100.0,-0.009698261430067268,-0.05,63.0
65,0.1,30.0,100.0,-0.031123964355247734,-0.01,64.0
66,0.1,30.0,100.0,-0.18497819060595502,-0.01,65.0
67,0.1,30.0,100.0,-0.09143944776111926,-0.08,66.0
68,0.1,30.0,100.0,0.007877403306296871,-0.18,67.0
69,0.1,30.0,100.0,-0.3538938486489679,-0.0,68.0
70,0.1,30.0,100.0,-0.07074481316790053,-0.02,69.0
71,0.1,30.0,100.0,-0.2491286513815038,-0.06,70.0
72,0.1,30.0,100.0,-0.5500812597349791,-0.0,71.0
73,0.1,30.0,100.0,-0.025546110200388394,-0.0,72.0
74,0.1,30.0,100.0,-0.2781240697512229,-0.01,73.0
75,0.1,30.0,100.0,-0.07455451725589843,-0.01,74.0
76,0.1,30.0,100.0,-0.06225652959090298,0.01,75.0
77,0.1,30.0,100.0,-0.1733113642174305,-0.0,76.0
78,0.1,30.0,100.0,-0.3832039096952568,-0.19,77.0
79,0.1,30.0,100.0,-0.10278996996349861,-0.01,78.0
80,0.1,30.0,100.0,-0.29621150075322855,-0.06,79.0
81,0.1,30.0,100.0,-0.14305108231513325,-0.11,80.0
82,0.1,30.0,100.0,-0.17288897811033896,-0.01,81.0
83,0.1,30.0,100.0,-0.6070506210668094,-0.15,82.0
84,0.1,30.0,100.0,-0.1035499585864117,-0.0,83.0
85,0.1,30.0,100.0,-0.09731477860413236,-0.07,84.0
86,0.1,30.0,100.0,-0.028448825360779816,-0.16,85.0
87,0.1,30.0,100.0,-0.2538051382136236,-0.03,86.0
88,0.1,30.0,100.0,-0.04961601789262389,-0.12,87.0
89,0.1,30.0,100.0,-0.17988356980565734,-0.02,88.0
90,0.1,30.0,100.0,-0.30153522256446336,-0.1,89.0
91,0.1,30.0,100.0,-0.08405570171332669,-0.0,90.0
92,0.1,30.0,100.0,-0.1576953104685289,-0.12,91.0
93,0.1,30.0,100.0,-0.020608279665790506,-0.07,92.0
94,0.1,30.0,100.0,-0.10831364402196683,-0.01,93.0
95,0.1,30.0,100.0,-0.17330904367104732,0.0,94.0
96,0.1,30.0,100.0,-0.025146799727917578,-0.28,95.0
97,0.1,30.0,100.0,-0.013254426732031765,-0.0,96.0
98,0.1,30.0,100.0,-0.31622483942794827,-0.01,97.0
99,0.1,30.0,100.0,-0.1095551796680196,-0.14,98.0
100,0.1,30.0,100.0,-0.27334143739964667,-0.0,99.0
101,0.3,30.0,100.0,-0.31754839270460766,-0.08,0.0
102,0.3,30.0,100.0,0.02466575921040559,-0.72,1.0
103,0.3,30.0,100.0,-0.14361967416851104,-0.08,2.0
104,0.3,30.0,100.0,-0.1762878137888185,-0.03,3.0
105,0.3,30.0,100.0,-0.22427630425433262,-0.15,4.0
106,0.3,30.0,100.0,-0.1105826724153208,-0.03,5.0
107,0.3,30.0,100.0,0.11616151049723233,-0.08,6.0
108,0.3,30.0,100.0,-0.06508107233089225,-0.01,7.0
109,0.3,30.0,100.0,-0.1592948788041761,-0.03,8.0
110,0.3,30.0,100.0,-0.3127419196032347,-0.0,9.0
111,0.3,30.0,100.0,-0.2014374965953742,-0.01,10.0
112,0.3,30.0,100.0,-0.02761636730842785,-0.15,11.0
113,0.3,30.0,100.0,-0.3952561023047552,-0.01,12.0
114,0.3,30.0,100.0,-0.05360762833065245,-0.03,13.0
115,0.3,30.0,100.0,-0.10714832633032687,-0.03,14.0
116,0.3,30.0,100.0,-0.13925332412308217,-0.06,15.0
117,0.3,30.0,100.0,-0.23924097175953504,-0.19,16.0
118,0.3,30.0,100.0,-0.22815869130542357,-0.01,17.0
119,0.3,30.0,100.0,-0.09351606971329138,-0.0,18.0
120,0.3,30.0,100.0,-0.02922132023873445,-0.0,19.0
121,0.3,30.0,100.0,-0.35359718102863835,-0.08,20.0
122,0.3,30.0,100.0,-0.8859921351189204,-0.04,21.0
123,0.3,30.0,100.0,-0.043261236473792854,-0.02,22.0
124,0.3,30.0,100.0,-0.13194075108739395,-0.0,23.0
125,0.3,30.0,100.0,-0.2630695641730146,-0.06,24.0
126,0.3,30.0,100.0,-0.14647039553488728,0.02,25.0
127,0.3,30.0,100.0,-0.13724898609577316,-0.0,26.0
128,0.3,30.0,100.0,-0.24342189449436388,-0.18,27.0
129,0.3,30.0,100.0,-0.08676482800596404,-0.01,28.0
130,0.3,30.0,100.0,-0.086943114220059,-0.05,29.0
131,0.3,30.0,100.0,-0.08189889365066313,-0.02,30.0
132,0.3,30.0,100.0,-0.13633686208038348,-0.01,31.0
133,0.3,30.0,100.0,-0.13267896358895848,-0.46,32.0
134,0.3,30.0,100.0,-0.19420791937419266,-0.23,33.0
135,0.3,30.0,100.0,-0.13284578768571556,-0.06,34.0
136,0.3,30.0,100.0,-0.06790367357700963,-0.0,35.0
137,0.3,30.0,100.0,-0.12290644620938665,-0.0,36.0
138,0.3,30.0,100.0,-0.4318684127486277,-0.0,37.0
139,0.3,30.0,100.0,-0.21423661621205844,-0.01,38.0
140,0.3,30.0,100.0,-0.12171173203236911,-0.0,39.0
141,0.3,30.0,100.0,-0.038102895088221664,-0.01,40.0
142,0.3,30.0,100.0,-0.12345909962298332,-0.0,41.0
143,0.3,30.0,100.0,-0.424056988783781,-0.02,42.0
144,0.3,30.0,100.0,-0.763877282688776,-0.02,43.0
145,0.3,30.0,100.0,-0.13126260549799357,-0.0,44.0
146,0.3,30.0,100.0,-0.28347822685543833,-0.0,45.0
147,0.3,30.0,100.0,-0.5896628599240193,-0.01,46.0
148,0.3,30.0,100.0,0.07151262470018835,-0.29,47.0
149,0.3,30.0,100.0,-0.5563058065657147,-0.02,48.0
150,0.3,30.0,100.0,-0.08491647180163064,-0.03,49.0
151,0.3,30.0,100.0,-0.04222437033243194,-0.03,50.0
152,0.3,30.0,100.0,-0.02218730543308418,-0.04,51.0
153,0.3,30.0,100.0,-0.0951935958522856,-0.0,52.0
154,0.3,30.0,100.0,-0.01937328454213034,-0.15,53.0
155,0.3,30.0,100.0,-0.04362701516966498,-0.59,54.0
156,0.3,30.0,100.0,-0.08481305520096258,-0.07,55.0
157,0.3,30.0,100.0,-0.18302157855573994,-0.02,56.0
158,0.3,30.0,100.0,-0.26000259141553095,-0.15,57.0
159,0.3,30.0,100.0,-0.03352929670597793,-0.03,58.0
160,0.3,30.0,100.0,-0.011714524290863459,-0.19,59.0
161,0.3,30.0,100.0,-0.18770123664169563,-0.05,60.0
162,0.3,30.0,100.0,-0.05311346391914475,-0.01,61.0
163,0.3,30.0,100.0,-0.2252166850781006,-0.15,62.0
164,0.3,30.0,100.0,-0.009698261430067268,-0.05,63.0
165,0.3,30.0,100.0,-0.03979302501493982,-0.01,64.0
166,0.3,30.0,100.0,-0.18497819060595502,-0.01,65.0
167,0.3,30.0,100.0,-0.0744867234933863,-0.38,66.0
168,0.3,30.0,100.0,-0.011113191909866682,-0.16,67.0
169,0.3,30.0,100.0,-0.3538938486489679,-0.0,68.0
170,0.3,30.0,100.0,0.05280219191608317,-0.11,69.0
171,0.3,30.0,100.0,-0.3150725234405007,-0.02,70.0
172,0.3,30.0,100.0,-0.5500812597349791,-0.0,71.0
173,0.3,30.0,100.0,-0.025546110200388394,-0.0,72.0
174,0.3,30.0,100.0,-0.2781240697512229,-0.01,73.0
175,0.3,30.0,100.0,-0.07455451725589843,-0.01,74.0
176,0.3,30.0,100.0,-0.08721782919728316,-0.0,75.0
177,0.3,30.0,100.0,-0.1733113642174305,-0.0,76.0
178,0.3,30.0,100.0,-0.3832039096952568,-0.19,77.0
179,0.3,30.0,100.0,-0.10278996996349861,-0.01,78.0
180,0.3,30.0,100.0,-0.29621150075322855,-0.06,79.0
181,0.3,30.0,100.0,-0.14305108231513325,-0.11,80.0
182,0.3,30.0,100.0,-0.17027032062237385,-0.01,81.0
183,0.3,30.0,100.0,-0.5406610056116076,-0.23,82.0
184,0.3,30.0,100.0,-0.1035499585864117,-0.0,83.0
185,0.3,30.0,100.0,-0.09731477860413236,-0.07,84.0
186,0.3,30.0,100.0,-0.10774653789811098,-0.02,85.0
187,0.3,30.0,100.0,-0.2538051382136236,-0.03,86.0
188,0.3,30.0,100.0,-0.07347779500140512,-0.01,87.0
189,0.3,30.0,100.0,-0.17988356980565734,-0.02,88.0
190,0.3,30.0,100.0,-0.30153522256446336,-0.1,89.0
191,0.3,30.0,100.0,-0.08405570171332669,-0.0,90.0
192,0.3,30.0,100.0,-0.11505840799103466,-0.04,91.0
193,0.3,30.0,100.0,-0.10252179901187297,-0.08,92.0
194,0.3,30.0,100.0,-0.10042812678181404,-0.03,93.0
195,0.3,30.0,100.0,-0.1412973324360086,0.0,94.0
196,0.3,30.0,100.0,-0.02746149986077522,-0.26,95.0
197,0.3,30.0,100.0,-0.013254426732031765,-0.0,96.0
198,0.3,30.0,100.0,-0.31622483942794827,-0.01,97.0
199,0.3,30.0,100.0,-0.1095551796680196,-0.14,98.0
200,0.3,30.0,100.0,-0.24807945783739632,-0.12,99.0
201,0.5,30.0,100.0,-0.30172510369411154,-0.1,0.0
202,0.5,30.0,100.0,0.011711205167373206,-0.02,1.0
203,0.5,30.0,100.0,-0.22843124895002206,-0.04,2.0
204,0.5,30.0,100.0,-0.1762878137888185,-0.03,3.0
205,0.5,30.0,100.0,-0.22427630425433262,-0.15,4.0
206,0.5,30.0,100.0,-0.06531939827136155,-0.13,5.0
207,0.5,30.0,100.0,0.036027752510989906,0.03,6.0
208,0.5,30.0,100.0,-0.06508107233089225,-0.01,7.0
209,0.5,30.0,100.0,-0.1592948788041761,-0.03,8.0
210,0.5,30.0,100.0,-0.35036739887176094,-0.02,9.0
211,0.5,30.0,100.0,-0.2074470638129892,-0.02,10.0
212,0.5,30.0,100.0,-0.02761636730842785,-0.15,11.0
213,0.5,30.0,100.0,-0.3952561023047552,-0.01,12.0
214,0.5,30.0,100.0,-0.05360762833065245,-0.03,13.0
215,0.5,30.0,100.0,-0.10714832633032687,-0.03,14.0
216,0.5,30.0,100.0,-0.053622986909824165,-0.38,15.0
217,0.5,30.0,100.0,-0.23924097175953504,-0.19,16.0
218,0.5,30.0,100.0,-0.08824298059111449,-0.06,17.0
219,0.5,30.0,100.0,-0.09351606971329138,-0.0,18.0
220,0.5,30.0,100.0,0.012658398181627261,-0.01,19.0
221,0.5,30.0,100.0,-0.41628886928327286,-0.02,20.0
222,0.5,30.0,100.0,-0.7690351283107246,-0.09,21.0
223,0.5,30.0,100.0,-0.043261236473792854,-0.02,22.0
224,0.5,30.0,100.0,-0.13168274512237263,-0.0,23.0
225,0.5,30.0,100.0,-0.26429891258302923,-0.06,24.0
226,0.5,30.0,100.0,-0.21024023151205204,-0.01,25.0
227,0.5,30.0,100.0,-0.13724898609577316,-0.0,26.0
228,0.5,30.0,100.0,-0.2268023972046731,-0.17,27.0
229,0.5,30.0,100.0,-0.08676482800596404,-0.01,28.0
230,0.5,30.0,100.0,-0.086943114220059,-0.05,29.0
231,0.5,30.0,100.0,-0.08440880087470237,-0.01,30.0
232,0.5,30.0,100.0,-0.13624889845391458,-0.01,31.0
