,miss_perc,K,n_samples,cv_r2,test_r2,r2_param,seed
1,0.0,30.0,100.0,-0.31754839270460766,-0.08,0.0,0.0
2,0.0,30.0,100.0,-0.5304261336839413,-0.18,0.1,0.0
3,0.0,30.0,100.0,0.16474324143069102,-0.24,0.3,0.0
4,0.0,30.0,100.0,0.3534264927607743,0.46,0.5,0.0
5,0.1,30.0,100.0,-0.41794513903068004,-0.11,0.0,0.0
6,0.1,30.0,100.0,-0.23862416695929078,-0.16,0.1,0.0
7,0.1,30.0,100.0,0.3006989725262003,-0.11,0.3,0.0
8,0.1,30.0,100.0,0.5463709251410429,0.52,0.5,0.0
9,0.3,30.0,100.0,-0.19137664806124882,0.13,0.0,0.0
10,0.3,30.0,100.0,0.08267686064942789,0.4,0.1,0.0
11,0.3,30.0,100.0,0.89342534172137,0.92,0.3,0.0
12,0.3,30.0,100.0,0.8647039578909961,0.77,0.5,0.0
13,0.5,30.0,100.0,-0.08412277223712872,0.16,0.0,0.0
14,0.5,30.0,100.0,0.9370847081308231,0.98,0.1,0.0
15,0.5,30.0,100.0,0.9313505485128648,0.93,0.3,0.0
16,0.5,30.0,100.0,0.9395983477985392,0.96,0.5,0.0
17,0.0,30.0,300.0,-0.015107179769789748,-0.04,0.0,0.0
18,0.0,30.0,300.0,-0.04987987780886303,-0.01,0.1,0.0
19,0.0,30.0,300.0,0.14898356098596632,0.2,0.3,0.0
20,0.0,30.0,300.0,0.3721139718008067,0.38,0.5,0.0
21,0.1,30.0,300.0,-0.0071604751244036535,-0.04,0.0,0.0
22,0.1,30.0,300.0,-0.03913704942920195,0.04,0.1,0.0
23,0.1,30.0,300.0,0.16991788161080917,0.29,0.3,0.0
24,0.1,30.0,300.0,0.41637297673620005,0.5,0.5,0.0
25,0.3,30.0,300.0,-0.003950349236717355,-0.02,0.0,0.0
26,0.3,30.0,300.0,0.9943939638224041,1.0,0.1,0.0
27,0.3,30.0,300.0,0.9846530165391787,0.99,0.3,0.0
28,0.3,30.0,300.0,0.9727661377743118,0.98,0.5,0.0
29,0.5,30.0,300.0,-0.0143898962106628,-0.03,0.0,0.0
30,0.5,30.0,300.0,0.9804780774999184,0.98,0.1,0.0
31,0.5,30.0,300.0,0.9646590831488764,0.97,0.3,0.0
32,0.5,30.0,300.0,0.9576640819278056,0.96,0.5,0.0
33,0.0,30.0,1000.0,-0.007916912224051043,-0.0,0.0,0.0
34,0.0,30.0,1000.0,0.04279028660241231,0.11,0.1,0.0
35,0.0,30.0,1000.0,0.22559317056434797,0.31,0.3,0.0
36,0.0,30.0,1000.0,0.43576448641358567,0.51,0.5,0.0
37,0.1,30.0,1000.0,-0.008638574065899985,-0.0,0.0,0.0
38,0.1,30.0,1000.0,0.06498438504569573,0.14,0.1,0.0
39,0.1,30.0,1000.0,0.27877977526812636,0.36,0.3,0.0
40,0.1,30.0,1000.0,0.4977740775357213,0.56,0.5,0.0
41,0.3,30.0,1000.0,-0.009771699894188402,-0.0,0.0,0.0
42,0.3,30.0,1000.0,0.2319584724197333,0.26,0.1,0.0
43,0.3,30.0,1000.0,0.4474231823431253,0.49,0.3,0.0
44,0.3,30.0,1000.0,0.6437446073748065,0.67,0.5,0.0
45,0.5,30.0,1000.0,-0.014113323333183691,-0.01,0.0,0.0
46,0.5,30.0,1000.0,0.9719979639397185,0.98,0.1,0.0
47,0.5,30.0,1000.0,0.9289257223813963,0.94,0.3,0.0
48,0.5,30.0,1000.0,0.9054799910532367,0.92,0.5,0.0
