,miss_perc,K,n_samples,cv_r2,test_r2,r2_param,seed
1,0.0,30.0,100.0,-0.31754839270460766,-0.08,0.0,0.0
2,0.0,30.0,100.0,-0.0068324174586914975,-0.23,0.0,1.0
3,0.0,30.0,100.0,-0.25945507729961176,-0.0,0.0,2.0
4,0.0,30.0,100.0,-0.1762878137888185,-0.03,0.0,3.0
5,0.0,30.0,100.0,-0.22427630425433262,-0.15,0.0,4.0
6,0.0,30.0,100.0,-0.1105826724153208,-0.03,0.0,5.0
7,0.0,30.0,100.0,-0.036651508294374156,-0.01,0.0,6.0
8,0.0,30.0,100.0,-0.06508107233089225,-0.01,0.0,7.0
9,0.0,30.0,100.0,-0.1592948788041761,-0.03,0.0,8.0
10,0.0,30.0,100.0,-0.35036739887176094,-0.02,0.0,9.0
11,0.0,30.0,100.0,-0.5304261336839413,-0.18,0.1,0.0
12,0.0,30.0,100.0,-0.6536725070949572,-0.55,0.1,1.0
13,0.0,30.0,100.0,-1.256372387877771,-0.0,0.1,2.0
14,0.0,30.0,100.0,-0.07303900590635301,-0.16,0.1,3.0
15,0.0,30.0,100.0,-0.928034379308157,-1.13,0.1,4.0
16,0.0,30.0,100.0,-0.8210467916693777,-0.5,0.1,5.0
17,0.0,30.0,100.0,-0.4904404886933059,0.08,0.1,6.0
18,0.0,30.0,100.0,-0.6623678150124096,-0.21,0.1,7.0
19,0.0,30.0,100.0,-1.4447423056233355,-0.11,0.1,8.0
20,0.0,30.0,100.0,-1.4692707829917762,-0.87,0.1,9.0
21,0.0,30.0,100.0,0.16474324143069102,-0.24,0.3,0.0
22,0.0,30.0,100.0,0.05924060538900946,-0.09,0.3,1.0
23,0.0,30.0,100.0,-0.3997387887539577,0.23,0.3,2.0
24,0.0,30.0,100.0,-0.09944428581125145,0.05,0.3,3.0
25,0.0,30.0,100.0,0.2479422000404825,0.11,0.3,4.0
26,0.0,30.0,100.0,-0.15514389346178592,-0.02,0.3,5.0
27,0.0,30.0,100.0,-0.16536797304818782,0.31,0.3,6.0
28,0.0,30.0,100.0,0.08274008922572948,0.07,0.3,7.0
29,0.0,30.0,100.0,-0.2447252207390775,0.13,0.3,8.0
30,0.0,30.0,100.0,-1.1048824240265633,0.01,0.3,9.0
31,0.0,30.0,100.0,0.3534264927607743,0.46,0.5,0.0
32,0.0,30.0,100.0,0.2102806201812622,0.55,0.5,1.0
33,0.0,30.0,100.0,0.08025916976943423,0.42,0.5,2.0
34,0.0,30.0,100.0,0.18491504177985463,0.25,0.5,3.0
35,0.0,30.0,100.0,0.23068750992869064,0.64,0.5,4.0
36,0.0,30.0,100.0,0.46859472267711083,0.31,0.5,5.0
37,0.0,30.0,100.0,-0.16832209356352087,0.28,0.5,6.0
38,0.0,30.0,100.0,0.3823643631294254,0.25,0.5,7.0
39,0.0,30.0,100.0,0.06692655210757828,0.36,0.5,8.0
40,0.0,30.0,100.0,-0.7238998027050474,0.35,0.5,9.0
41,0.1,30.0,100.0,-0.41794513903068004,-0.11,0.0,0.0
42,0.1,30.0,100.0,-0.0476677713073036,-0.28,0.0,1.0
43,0.1,30.0,100.0,-0.17205396857314972,-0.04,0.0,2.0
44,0.1,30.0,100.0,-0.3445362256278506,-0.01,0.0,3.0
45,0.1,30.0,100.0,-0.2263333295145508,-0.15,0.0,4.0
46,0.1,30.0,100.0,-0.1264824989410676,-0.02,0.0,5.0
47,0.1,30.0,100.0,0.05848790610612535,0.05,0.0,6.0
48,0.1,30.0,100.0,-0.05211321391398984,-0.05,0.0,7.0
49,0.1,30.0,100.0,-0.13320135434051247,-0.07,0.0,8.0
50,0.1,30.0,100.0,-0.31944223399564886,-0.03,0.0,9.0
51,0.1,30.0,100.0,-0.23862416695929078,-0.16,0.1,0.0
52,0.1,30.0,100.0,-0.43020804390858086,-0.59,0.1,1.0
53,0.1,30.0,100.0,-0.47705988473542443,-0.02,0.1,2.0
54,0.1,30.0,100.0,-0.04576363675937056,0.22,0.1,3.0
55,0.1,30.0,100.0,-0.09593284137814026,-1.09,0.1,4.0
56,0.1,30.0,100.0,-1.2961867465076036,-0.41,0.1,5.0
57,0.1,30.0,100.0,-0.2342489195155601,0.04,0.1,6.0
58,0.1,30.0,100.0,-0.3447705145037135,-0.33,0.1,7.0
59,0.1,30.0,100.0,-0.8246868645422782,-0.06,0.1,8.0
60,0.1,30.0,100.0,-1.5966475769127753,-0.23,0.1,9.0
61,0.1,30.0,100.0,0.3006989725262003,-0.11,0.3,0.0
62,0.1,30.0,100.0,0.11372587866416736,-0.07,0.3,1.0
63,0.1,30.0,100.0,0.11068728575931756,0.33,0.3,2.0
64,0.1,30.0,100.0,-0.009718285319303544,0.16,0.3,3.0
65,0.1,30.0,100.0,0.16103107030602082,0.24,0.3,4.0
66,0.1,30.0,100.0,-0.050897641937950655,0.04,0.3,5.0
67,0.1,30.0,100.0,0.05026005270461431,0.4,0.3,6.0
68,0.1,30.0,100.0,0.2923544820340843,0.09,0.3,7.0
69,0.1,30.0,100.0,-0.24921096192958006,0.22,0.3,8.0
70,0.1,30.0,100.0,-0.37055430112592413,0.17,0.3,9.0
71,0.1,30.0,100.0,0.5463709251410429,0.52,0.5,0.0
72,0.1,30.0,100.0,0.29591551361686513,0.72,0.5,1.0
73,0.1,30.0,100.0,0.4519530144638659,0.5,0.5,2.0
74,0.1,30.0,100.0,0.2909710301834657,0.4,0.5,3.0
75,0.1,30.0,100.0,0.458836732456586,0.66,0.5,4.0
76,0.1,30.0,100.0,0.5179235170597459,0.33,0.5,5.0
77,0.1,30.0,100.0,-0.09338936099639686,0.37,0.5,6.0
78,0.1,30.0,100.0,0.44233210944786167,0.26,0.5,7.0
79,0.1,30.0,100.0,0.10288989753334647,0.45,0.5,8.0
80,0.1,30.0,100.0,0.0049318237409085915,0.4,0.5,9.0
81,0.3,30.0,100.0,-0.19137664806124882,0.13,0.0,0.0
82,0.3,30.0,100.0,0.2196688341261143,-0.04,0.0,1.0
83,0.3,30.0,100.0,0.11379542960609848,0.02,0.0,2.0
84,0.3,30.0,100.0,0.38259456728796815,0.37,0.0,3.0
85,0.3,30.0,100.0,-0.16773290966617718,-0.13,0.0,4.0
86,0.3,30.0,100.0,0.07675393856989265,0.15,0.0,5.0
87,0.3,30.0,100.0,0.07497075297899358,0.12,0.0,6.0
88,0.3,30.0,100.0,-0.1480996897625391,-0.02,0.0,7.0
89,0.3,30.0,100.0,0.02172369527695599,-0.12,0.0,8.0
90,0.3,30.0,100.0,0.09949244455049591,0.32,0.0,9.0
91,0.3,30.0,100.0,0.08267686064942789,0.4,0.1,0.0
92,0.3,30.0,100.0,0.7608845225668679,0.84,0.1,1.0
93,0.3,30.0,100.0,0.9820794117986681,0.99,0.1,2.0
94,0.3,30.0,100.0,0.8443799054806898,0.95,0.1,3.0
95,0.3,30.0,100.0,0.9475813018368553,0.93,0.1,4.0
96,0.3,30.0,100.0,0.9713159131044392,0.98,0.1,5.0
97,0.3,30.0,100.0,0.9084422882492452,0.97,0.1,6.0
98,0.3,30.0,100.0,0.9403172515713974,0.98,0.1,7.0
99,0.3,30.0,100.0,0.9337988463792943,0.98,0.1,8.0
100,0.3,30.0,100.0,0.6459143713574559,0.81,0.1,9.0
101,0.3,30.0,100.0,0.89342534172137,0.92,0.3,0.0
102,0.3,30.0,100.0,0.6975242837257127,0.8,0.3,1.0
103,0.3,30.0,100.0,0.9075179685957006,0.98,0.3,2.0
104,0.3,30.0,100.0,0.9584558565598105,0.96,0.3,3.0
105,0.3,30.0,100.0,0.73480072620925,0.6,0.3,4.0
106,0.3,30.0,100.0,0.6679569405044672,0.74,0.3,5.0
107,0.3,30.0,100.0,0.5697025076571711,0.72,0.3,6.0
108,0.3,30.0,100.0,0.8434776020094018,0.96,0.3,7.0
109,0.3,30.0,100.0,0.16562797439263682,0.35,0.3,8.0
110,0.3,30.0,100.0,0.47906096760864897,0.69,0.3,9.0
111,0.3,30.0,100.0,0.8647039578909961,0.77,0.5,0.0
112,0.3,30.0,100.0,0.9414201466566595,0.97,0.5,1.0
113,0.3,30.0,100.0,0.9184092659214353,0.98,0.5,2.0
114,0.3,30.0,100.0,0.951515253180918,0.98,0.5,3.0
115,0.3,30.0,100.0,0.903847235714051,0.97,0.5,4.0
116,0.3,30.0,100.0,0.7898570976373884,0.89,0.5,5.0
117,0.3,30.0,100.0,0.7681824644617058,0.85,0.5,6.0
118,0.3,30.0,100.0,0.6700407216803489,0.3,0.5,7.0
119,0.3,30.0,100.0,0.4135464871847728,0.52,0.5,8.0
120,0.3,30.0,100.0,0.21007322633702746,0.77,0.5,9.0
121,0.5,30.0,100.0,-0.08412277223712872,0.16,0.0,0.0
122,0.5,30.0,100.0,0.4589726078720073,0.15,0.0,1.0
123,0.5,30.0,100.0,0.055466802748748004,0.07,0.0,2.0
124,0.5,30.0,100.0,0.09268083853311974,0.34,0.0,3.0
125,0.5,30.0,100.0,-0.10851679665459071,-0.16,0.0,4.0
126,0.5,30.0,100.0,0.10073852773290523,0.12,0.0,5.0
127,0.5,30.0,100.0,0.15351131643743587,0.07,0.0,6.0
128,0.5,30.0,100.0,0.463978298997571,0.39,0.0,7.0
129,0.5,30.0,100.0,0.3997739612260712,0.22,0.0,8.0
130,0.5,30.0,100.0,0.11088804678248303,0.31,0.0,9.0
131,0.5,30.0,100.0,0.9370847081308231,0.98,0.1,0.0
132,0.5,30.0,100.0,0.9455804266909219,0.98,0.1,1.0
133,0.5,30.0,100.0,0.968056110299633,0.97,0.1,2.0
134,0.5,30.0,100.0,0.9636454100048996,0.96,0.1,3.0
135,0.5,30.0,100.0,0.9677148048237951,0.96,0.1,4.0
136,0.5,30.0,100.0,0.9817858552219265,0.99,0.1,5.0
137,0.5,30.0,100.0,0.9744589708856786,0.99,0.1,6.0
138,0.5,30.0,100.0,0.9266596713834618,0.96,0.1,7.0
139,0.5,30.0,100.0,0.9609359478802151,0.97,0.1,8.0
140,0.5,30.0,100.0,0.9548400458464933,0.99,0.1,9.0
141,0.5,30.0,100.0,0.9313505485128648,0.93,0.3,0.0
142,0.5,30.0,100.0,0.8930816850382939,0.96,0.3,1.0
143,0.5,30.0,100.0,0.919248069822425,0.94,0.3,2.0
144,0.5,30.0,100.0,0.952663905417689,0.96,0.3,3.0
145,0.5,30.0,100.0,0.9411295644962643,0.85,0.3,4.0
146,0.5,30.0,100.0,0.9409599468333327,0.95,0.3,5.0
147,0.5,30.0,100.0,0.9508275843788725,0.95,0.3,6.0
148,0.5,30.0,100.0,0.9285317626768915,0.98,0.3,7.0
149,0.5,30.0,100.0,0.8820637877791413,0.97,0.3,8.0
150,0.5,30.0,100.0,0.9676555251294292,0.98,0.3,9.0
151,0.5,30.0,100.0,0.9395983477985392,0.96,0.5,0.0
152,0.5,30.0,100.0,0.9483427045628515,0.98,0.5,1.0
153,0.5,30.0,100.0,0.9148348506026883,0.93,0.5,2.0
154,0.5,30.0,100.0,0.8495327585931733,0.88,0.5,3.0
155,0.5,30.0,100.0,0.9282398252212785,0.97,0.5,4.0
