,miss_perc,K,n_samples,cv_r2,test_r2,seed
1,0.1,30.0,100.0,-0.41794513903068004,-0.11,0.0
2,0.1,30.0,100.0,-0.0476677713073036,-0.28,1.0
3,0.1,30.0,100.0,-0.17205396857314972,-0.04,2.0
4,0.1,30.0,100.0,-0.3445362256278506,-0.01,3.0
5,0.1,30.0,100.0,-0.2263333295145508,-0.15,4.0
6,0.1,30.0,100.0,-0.1264824989410676,-0.02,5.0
7,0.1,30.0,100.0,0.05848790610612535,0.05,6.0
8,0.1,30.0,100.0,-0.05211321391398984,-0.05,7.0
9,0.1,30.0,100.0,-0.13320135434051247,-0.07,8.0
10,0.1,30.0,100.0,-0.31944223399564886,-0.03,9.0
11,0.1,30.0,100.0,-0.10114810403788017,-0.11,10.0
12,0.1,30.0,100.0,-0.019919130958604914,-0.28,11.0
13,0.1,30.0,100.0,-0.4055956996460951,-0.02,12.0
14,0.1,30.0,100.0,0.0005713525092010841,-0.05,13.0
15,0.1,30.0,100.0,-0.07657603026755314,0.05,14.0
16,0.1,30.0,100.0,-0.1848971631355599,-0.04,15.0
17,0.1,30.0,100.0,-0.22966894490147838,-0.19,16.0
18,0.1,30.0,100.0,-0.24266974026538907,-0.0,17.0
19,0.1,30.0,100.0,-0.06770230073306802,-0.01,18.0
20,0.1,30.0,100.0,-0.01252053495101375,-0.01,19.0
21,0.1,30.0,100.0,-0.4424320478535074,-0.03,20.0
22,0.1,30.0,100.0,-0.6563308892249532,-0.03,21.0
23,0.1,30.0,100.0,-0.0647348045016853,-0.09,22.0
24,0.1,30.0,100.0,-0.09781564392103193,-0.01,23.0
25,0.1,30.0,100.0,-0.1836385967832502,-0.07,24.0
26,0.1,30.0,100.0,-0.123700886362941,0.16,25.0
27,0.1,30.0,100.0,-0.17541306286082753,-0.0,26.0
28,0.1,30.0,100.0,-0.21168420497275758,-0.19,27.0
29,0.1,30.0,100.0,-0.12154940685992374,-0.02,28.0
30,0.1,30.0,100.0,-0.0579616475521191,-0.11,29.0
31,0.1,30.0,100.0,-0.041450812575050434,-0.02,30.0
32,0.1,30.0,100.0,-0.3312723442209943,-0.01,31.0
33,0.1,30.0,100.0,-0.11750686521469697,-0.38,32.0
34,0.1,30.0,100.0,-0.12568820178528953,-0.21,33.0
35,0.1,30.0,100.0,-0.2474950031523239,-0.01,34.0
36,0.1,30.0,100.0,-0.04837276199201161,-0.0,35.0
37,0.1,30.0,100.0,-0.1240494269490557,-0.0,36.0
38,0.1,30.0,100.0,-0.4111116158717419,-0.0,37.0
39,0.1,30.0,100.0,-0.17495146026581737,-0.01,38.0
40,0.1,30.0,100.0,-0.07454764741460536,-0.02,39.0
41,0.1,30.0,100.0,-0.03916650696214989,-0.04,40.0
42,0.1,30.0,100.0,-0.05960638491044552,-0.0,41.0
43,0.1,30.0,100.0,-0.3978623746061821,-0.01,42.0
44,0.1,30.0,100.0,-0.7550508475959299,-0.03,43.0
45,0.1,30.0,100.0,-0.09032872420352259,-0.0,44.0
46,0.1,30.0,100.0,-0.2419391990147898,-0.01,45.0
47,0.1,30.0,100.0,-0.6116651677833286,-0.01,46.0
48,0.1,30.0,100.0,-0.013708044800211261,-0.09,47.0
49,0.1,30.0,100.0,-0.3099977478536346,-0.02,48.0
50,0.1,30.0,100.0,-0.016529206185436785,0.01,49.0
51,0.1,30.0,100.0,-0.06670015283459074,-0.02,50.0
52,0.1,30.0,100.0,-0.03889926423523007,-0.0,51.0
53,0.1,30.0,100.0,-0.08247645976944513,-0.0,52.0
54,0.1,30.0,100.0,-0.010630107292328805,-0.11,53.0
55,0.1,30.0,100.0,-0.059358735364821544,-0.56,54.0
56,0.1,30.0,100.0,-0.09294303865612737,-0.06,55.0
57,0.1,30.0,100.0,-0.21901786815381685,-0.01,56.0
58,0.1,30.0,100.0,-0.18221368478839733,-0.09,57.0
59,0.1,30.0,100.0,0.06247609121714914,-0.0,58.0
60,0.1,30.0,100.0,0.006718691553834621,-0.08,59.0
61,0.1,30.0,100.0,-0.1635730021844113,-0.08,60.0
62,0.1,30.0,100.0,-0.055930402483465744,-0.01,61.0
