,miss_perc,K,n_samples,cv_r2,test_r2,seed
1,0.1,30.0,100.0,-0.31754839270460766,-0.08,0.0
2,0.1,30.0,100.0,-0.036807189911747806,-0.22,1.0
3,0.1,30.0,100.0,-0.17241708119624738,-0.08,2.0
4,0.1,30.0,100.0,-0.1762878137888185,-0.03,3.0
5,0.1,30.0,100.0,-0.22427630425433262,-0.15,4.0
6,0.1,30.0,100.0,-0.1105826724153208,-0.03,5.0
7,0.1,30.0,100.0,0.020403381149805933,-0.0,6.0
8,0.1,30.0,100.0,-0.06508107233089225,-0.01,7.0
9,0.1,30.0,100.0,-0.13392273039386976,-0.08,8.0
10,0.1,30.0,100.0,-0.34941013981938207,-0.03,9.0
11,0.1,30.0,100.0,-0.2074470638129892,-0.02,10.0
12,0.1,30.0,100.0,-0.02761636730842785,-0.15,11.0
13,0.1,30.0,100.0,-0.3952561023047552,-0.01,12.0
14,0.1,30.0,100.0,0.007379469019796114,-0.09,13.0
15,0.1,30.0,100.0,-0.06376821944947338,0.02,14.0
16,0.1,30.0,100.0,-0.1700217112293619,-0.06,15.0
17,0.1,30.0,100.0,-0.23924097175953504,-0.19,16.0
18,0.1,30.0,100.0,-0.2334561761507344,-0.0,17.0
19,0.1,30.0,100.0,-0.09351606971329138,-0.0,18.0
20,0.1,30.0,100.0,-0.02922132023873445,-0.0,19.0
21,0.1,30.0,100.0,-0.41628886928327286,-0.02,20.0
22,0.1,30.0,100.0,-0.6648970828052942,-0.15,21.0
23,0.1,30.0,100.0,-0.043261236473792854,-0.02,22.0
24,0.1,30.0,100.0,-0.13194075108739395,-0.0,23.0
25,0.1,30.0,100.0,-0.26429891258302923,-0.06,24.0
26,0.1,30.0,100.0,-0.15848484105646282,0.07,25.0
27,0.1,30.0,100.0,-0.13724898609577316,-0.0,26.0
28,0.1,30.0,100.0,-0.2541622490194743,-0.18,27.0
29,0.1,30.0,100.0,-0.08676482800596404,-0.01,28.0
30,0.1,30.0,100.0,-0.086943114220059,-0.05,29.0
31,0.1,30.0,100.0,-0.0938754008213762,-0.02,30.0
32,0.1,30.0,100.0,-0.13633686208038348,-0.01,31.0
33,0.1,30.0,100.0,-0.13267896358895848,-0.46,32.0
34,0.1,30.0,100.0,-0.19420791937419266,-0.23,33.0
35,0.1,30.0,100.0,-0.18973766054579233,0.02,34.0
36,0.1,30.0,100.0,-0.06790367357700963,-0.0,35.0
37,0.1,30.0,100.0,-0.12290644620938665,-0.0,36.0
38,0.1,30.0,100.0,-0.4318684127486277,-0.0,37.0
39,0.1,30.0,100.0,-0.21423661621205844,-0.01,38.0
40,0.1,30.0,100.0,-0.12350594684886965,-0.01,39.0
41,0.1,30.0,100.0,-0.038102895088221664,-0.01,40.0
42,0.1,30.0,100.0,-0.12345909962298332,-0.0,41.0
43,0.1,30.0,100.0,-0.424056988783781,-0.02,42.0
44,0.1,30.0,100.0,-0.763877282688776,-0.02,43.0
45,0.1,30.0,100.0,-0.13409694968330124,-0.0,44.0
46,0.1,30.0,100.0,-0.28347822685543833,-0.0,45.0
47,0.1,30.0,100.0,-0.5896628599240193,-0.01,46.0
48,0.1,30.0,100.0,0.04066982714143523,-0.4,47.0
49,0.1,30.0,100.0,-0.52116771950077,-0.08,48.0
50,0.1,30.0,100.0,-0.08491647180163064,-0.03,49.0
51,0.1,30.0,100.0,-0.061996451090767166,-0.01,50.0
52,0.1,30.0,100.0,-0.025132537064678485,-0.0,51.0
53,0.1,30.0,100.0,-0.0951935958522856,-0.0,52.0
54,0.1,30.0,100.0,-0.01937328454213034,-0.15,53.0
55,0.1,30.0,100.0,-0.04362701516966498,-0.59,54.0
56,0.1,30.0,100.0,-0.08481305520096258,-0.07,55.0
57,0.1,30.0,100.0,-0.18302157855573994,-0.02,56.0
58,0.1,30.0,100.0,-0.20676730198488844,-0.24,57.0
59,0.1,30.0,100.0,-0.020092661722026707,-0.12,58.0
60,0.1,30.0,100.0,0.00411871043623051,-0.18,59.0
61,0.1,30.0,100.0,-0.18770123664169563,-0.05,60.0
62,0.1,30.0,100.0,-0.05311346391914475,-0.01,61.0
63,0.1,30.0,100.0,-0.15728765730338168,-0.19,62.0
64,0.1,30.0,100.0,-0.009698261430067268,-0.05,63.0
65,0.1,30.0,100.0,-0.03979302501493982,-0.01,64.0
66,0.1,30.0,100.0,-0.18497819060595502,-0.01,65.0
67,0.1,30.0,100.0,-0.14588877521741545,-0.04,66.0
68,0.1,30.0,100.0,-0.0029660057242582027,-0.16,67.0
69,0.1,30.0,100.0,-0.3538938486489679,-0.0,68.0
70,0.1,30.0,100.0,-0.07074481316790053,-0.02,69.0
71,0.1,30.0,100.0,-0.2491286513815038,-0.06,70.0
72,0.1,30.0,100.0,-0.5500812597349791,-0.0,71.0
73,0.1,30.0,100.0,-0.025546110200388394,-0.0,72.0
74,0.1,30.0,100.0,-0.2781240697512229,-0.01,73.0
75,0.1,30.0,100.0,-0.07455451725589843,-0.01,74.0
76,0.1,30.0,100.0,-0.08664866889836328,0.02,75.0
77,0.1,30.0,100.0,-0.1733113642174305,-0.0,76.0
78,0.1,30.0,100.0,-0.3832039096952568,-0.19,77.0
79,0.1,30.0,100.0,-0.10278996996349861,-0.01,78.0
80,0.1,30.0,100.0,-0.29621150075322855,-0.06,79.0
81,0.1,30.0,100.0,-0.14305108231513325,-0.11,80.0
82,0.1,30.0,100.0,-0.17288897811033896,-0.01,81.0
83,0.1,30.0,100.0,-0.6292240724420316,-0.17,82.0
84,0.1,30.0,100.0,-0.1035499585864117,-0.0,83.0
85,0.1,30.0,100.0,-0.09731477860413236,-0.07,84.0
86,0.1,30.0,100.0,-0.09984584171904617,-0.03,85.0
87,0.1,30.0,100.0,-0.2538051382136236,-0.03,86.0
88,0.1,30.0,100.0,-0.07347779500140512,-0.01,87.0
89,0.1,30.0,100.0,-0.17988356980565734,-0.02,88.0
90,0.1,30.0,100.0,-0.30153522256446336,-0.1,89.0
91,0.1,30.0,100.0,-0.08405570171332669,-0.0,90.0
92,0.1,30.0,100.0,-0.1576953104685289,-0.12,91.0
93,0.1,30.0,100.0,-0.020608279665790506,-0.07,92.0
94,0.1,30.0,100.0,-0.10831364402196683,-0.01,93.0
95,0.1,30.0,100.0,-0.18203496793549673,-0.01,94.0
96,0.1,30.0,100.0,-0.02746149986077522,-0.26,95.0
97,0.1,30.0,100.0,-0.013254426732031765,-0.0,96.0
98,0.1,30.0,100.0,-0.31622483942794827,-0.01,97.0
99,0.1,30.0,100.0,-0.1095551796680196,-0.14,98.0
100,0.1,30.0,100.0,-0.27334143739964667,-0.0,99.0
101,0.3,30.0,100.0,-0.31754839270460766,-0.08,0.0
102,0.3,30.0,100.0,0.006608208117424663,-0.13,1.0
103,0.3,30.0,100.0,-0.14361967416851104,-0.08,2.0
104,0.3,30.0,100.0,-0.1762878137888185,-0.03,3.0
105,0.3,30.0,100.0,-0.22427630425433262,-0.15,4.0
106,0.3,30.0,100.0,-0.1105826724153208,-0.03,5.0
107,0.3,30.0,100.0,0.09076420569965198,-0.03,6.0
108,0.3,30.0,100.0,-0.06508107233089225,-0.01,7.0
109,0.3,30.0,100.0,-0.1592948788041761,-0.03,8.0
110,0.3,30.0,100.0,-0.32575470010615226,-0.0,9.0
111,0.3,30.0,100.0,-0.20397174339933435,-0.01,10.0
112,0.3,30.0,100.0,-0.02761636730842785,-0.15,11.0
